key_resp.keys	key_resp.corr	tilt	Hit 	Miss 	False Alarm	Correct rejection 							
up	1	0	1										
up	1	0	1										
up	1	0	1							Respond YES 	Respond NO		prop hit = hit/hit+miss
up	1	0	1						Signal present 	Hit 	Miss		prop fa = fa/fa+corr rejection
down	1	-4				1			Signal absent	False Alarm	Correct Rejection		
up	1	0	1										
up	1	0	1										d-prime = z(prop hit) -z(prop fa)
up	1	0	1							Respond YES	Respond NO		c= -z(prop) + z(prop fa)/2 
up	1	0	1										
up	1	0	1										
up	1	0	1										
up	1	0	1										
up	1	0	1										
up	0	-5			1								
up	1	0	1										
down	1	1	1										
up	1	0	1										
up	0	1			1								
up	1	0	1										
up	0	2			1								
down	1	3				1							
up	0	3			1								
up	1	0	1										
down	0	0		1									
up	0	1			1								
up	1	0	1										
up	0	-3			1								
up	1	0	1										
up	0	-2			1								
down	0	0		1									
down	1	1				1							
down	0	0		1									
down	0	0		1									
down	1	3				1							
up	0	-2			1								
up	1	0	1										
down	1	4				1							
up	1	0	1										
down	1	-4				1							
down	1	-3				1							
up	0	4			1								
down	1	-3				1							
down	1	1				1							
down	1	4				1							
down	1	-5				1							
up	1	0	1										
down	1	-2				1							
down	1	3				1							
down	1	-5				1							
down	1	3				1							
down	1	1				1							
down	0	0		1									
down	0	0		1									
down	0	0		1									
up	1	0	1										
down	1	-3				1							
up	1	0	1										
up	1	0	1										
up	1	0	1										
up	0	3			1								
down	1	-4				1							
down	1	-4				1							
up	1	0	1										
up	1	0	1										
down	1	1				1							
down	1	2				1							
up	1	0	1										
down	0	0		1									
up	1	0	1										
down	1	-5				1							
down	0	0		1									
down	1	-2				1							
up	1	0	1										
up	1	0	1										
up	1	0	1										
up	1	0	1										
down	1	-2				1							
down	0	0		1									
up	1	0	1										
down	1	-5				1							
up	1	0	1										
up	0	3			1								
down	1	-5				1							
up	1	0	1										
up	0	-3			1								
down	0	0		1									
up	1	0	1										
down	1	-3				1							
up	0	3			1								
down	0	0		1									
down	1	4				1							
up	1	0	1										
up	1	0	1										
up	1	0	1										
up	1	0	1										
up	1	0	1										
up	0	1			1								
up	0	3			1								
up	0	1			1								
up	0	2			1								
